iter	Passed	Remaining
532	1038	909
533	1039	907
534	1040	904
535	1042	902
536	1044	900
537	1045	897
538	1046	895
539	1048	892
540	1049	890
541	1050	887
542	1052	885
543	1053	883
544	1054	880
545	1056	878
546	1057	875
547	1058	873
548	1060	871
549	1062	868
550	1063	866
551	1064	864
552	1066	861
553	1067	859
554	1069	857
555	1070	854
556	1071	852
557	1073	850
558	1074	847
559	1076	845
560	1077	843
561	1078	840
562	1080	838
563	1081	836
564	1083	833
565	1084	831
566	1086	829
567	1087	827
568	1089	824
569	1090	822
570	1091	820
571	1093	817
572	1094	815
573	1095	813
574	1097	811
575	1098	808
576	1099	806
577	1101	804
578	1103	802
579	1104	799
580	1105	797
581	1107	795
582	1108	792
583	1110	790
584	1111	788
585	1113	786
586	1114	784
587	1115	781
588	1117	779
589	1118	777
590	1120	775
591	1121	772
592	1122	770
593	1124	768
594	1125	766
595	1126	763
596	1128	761
597	1129	759
598	1131	757
599	1132	755
600	1134	753
601	1135	750
602	1136	748
603	1138	746
604	1139	743
605	1140	741
606	1142	739
607	1143	737
608	1144	735
609	1146	732
610	1147	730
611	1149	728
612	1150	726
613	1151	724
614	1153	721
615	1154	719
616	1156	717
617	1158	715
618	1159	713
619	1160	711
620	1162	709
621	1163	707
622	1164	704
623	1166	702
624	1167	700
625	1168	698
626	1170	696
627	1171	693
628	1173	691
629	1174	689
630	1175	687
631	1177	685
632	1178	683
633	1179	681
634	1181	678
635	1182	676
636	1184	674
637	1185	672
638	1186	670
639	1188	668
640	1189	666
641	1191	664
642	1192	662
643	1194	660
644	1195	657
645	1196	655
646	1198	653
647	1199	651
648	1200	649
649	1202	647
650	1203	645
651	1205	643
652	1206	641
653	1208	639
654	1209	637
655	1210	634
656	1212	632
657	1213	630
658	1214	628
659	1216	626
660	1217	624
661	1218	622
662	1220	620
663	1222	618
664	1223	616
665	1224	614
666	1226	612
667	1227	610
668	1228	607
669	1230	605
670	1231	604
671	1233	602
672	1235	600
673	1236	598
674	1238	596
675	1240	594
676	1241	592
677	1243	590
678	1244	588
679	1245	586
680	1247	584
681	1248	582
682	1250	580
683	1251	578
684	1253	576
685	1254	574
686	1256	572
687	1257	570
688	1258	568
689	1259	566
690	1261	564
691	1263	562
692	1264	560
693	1266	558
694	1267	556
695	1269	554
696	1270	552
697	1271	550
698	1272	548
699	1274	546
700	1275	544
701	1277	542
702	1278	540
703	1280	538
704	1281	536
705	1283	534
706	1284	532
707	1285	530
708	1287	528
709	1288	526
710	1289	524
711	1290	522
712	1292	520
713	1294	518
714	1295	516
715	1297	514
716	1298	512
717	1299	510
718	1301	508
719	1302	506
720	1303	504
721	1305	502
722	1306	500
723	1307	498
724	1309	496
725	1310	494
726	1312	492
727	1313	490
728	1315	488
729	1316	486
730	1317	484
731	1318	482
732	1320	480
733	1321	478
734	1323	477
735	1324	475
736	1325	473
737	1327	471
738	1328	469
739	1330	467
740	1331	465
741	1332	463
742	1334	461
743	1335	459
744	1337	457
745	1339	456
746	1341	454
747	1343	452
748	1344	450
749	1346	448
750	1347	446
751	1349	444
752	1350	443
753	1352	441
754	1353	439
755	1355	437
756	1356	435
757	1358	433
758	1359	431
759	1360	429
760	1361	427
761	1363	425
762	1364	423
763	1365	421
764	1367	420
765	1368	418
766	1370	416
767	1371	414
768	1373	412
769	1374	410
770	1375	408
771	1377	406
772	1378	404
773	1379	402
774	1381	401
775	1382	399
776	1384	397
777	1385	395
778	1387	393
779	1388	391
780	1389	389
781	1391	387
782	1392	385
783	1393	384
784	1395	382
785	1396	380
786	1398	378
787	1399	376
788	1400	374
789	1402	372
790	1403	370
791	1405	369
792	1406	367
793	1407	365
794	1409	363
795	1410	361
796	1412	359
797	1413	357
798	1414	355
799	1416	354
800	1417	352
801	1419	350
802	1420	348
803	1422	346
804	1423	344
805	1424	342
806	1425	341
807	1427	339
808	1429	337
809	1430	335
810	1431	333
811	1433	331
812	1434	329
813	1435	328
814	1437	326
815	1438	324
816	1439	322
817	1441	320
818	1442	318
819	1444	317
820	1445	315
821	1447	313
822	1448	311
823	1449	309
824	1451	307
825	1452	305
826	1453	304
827	1455	302
828	1456	300
829	1458	298
830	1459	296
831	1461	295
832	1462	293
833	1464	291
834	1465	289
835	1466	287
836	1468	285
837	1469	284
838	1471	282
839	1473	280
840	1474	278
841	1475	276
842	1477	275
843	1478	273
844	1480	271
845	1481	269
846	1482	267
847	1484	266
848	1485	264
849	1487	262
850	1488	260
851	1489	258
852	1491	257
853	1492	255
854	1494	253
855	1495	251
856	1497	249
857	1498	248
858	1499	246
859	1501	244
860	1502	242
861	1504	240
862	1505	238
863	1506	237
864	1507	235
865	1509	233
866	1510	231
867	1512	229
868	1513	228
869	1514	226
870	1516	224
871	1518	222
872	1519	221
873	1520	219
874	1522	217
875	1523	215
876	1524	213
877	1526	212
878	1527	210
879	1528	208
880	1530	206
881	1531	204
882	1533	203
883	1534	201
884	1536	199
885	1537	197
886	1538	196
887	1540	194
888	1541	192
889	1542	190
890	1544	188
891	1545	187
892	1547	185
893	1548	183
894	1550	181
895	1551	180
896	1552	178
897	1554	176
898	1555	174
899	1556	172
900	1558	171
901	1559	169
902	1560	167
903	1562	165
904	1563	164
905	1565	162
906	1566	160
907	1568	158
908	1569	157
909	1570	155
910	1572	153
911	1573	151
912	1574	150
913	1576	148
914	1577	146
915	1579	144
916	1580	143
917	1582	141
918	1583	139
919	1584	137
920	1586	136
921	1587	134
922	1589	132
923	1590	130
924	1592	129
925	1593	127
926	1595	125
927	1596	123
928	1598	122
929	1599	120
930	1601	118
931	1602	116
932	1603	115
933	1605	113
934	1608	111
935	1612	110
936	1615	108
937	1618	106
938	1621	105
939	1625	103
940	1628	102
941	1632	100
942	1635	98
943	1638	97
944	1641	95
945	1645	93
946	1647	92
947	1649	90
948	1650	88
949	1654	87
950	1657	85
951	1660	83
952	1663	82
953	1665	80
954	1668	78
955	1671	76
956	1672	75
957	1674	73
958	1675	71
959	1676	69
960	1678	68
961	1679	66
962	1681	64
963	1682	62
964	1684	61
965	1685	59
966	1687	57
967	1688	55
968	1690	54
969	1691	52
970	1692	50
971	1694	48
972	1695	47
973	1696	45
974	1698	43
975	1699	41
976	1700	40
977	1702	38
978	1703	36
979	1705	34
980	1706	33
981	1707	31
982	1709	29
983	1710	27
984	1712	26
985	1713	24
986	1715	22
987	1716	20
988	1718	19
989	1719	17
990	1720	15
991	1722	13
992	1723	12
993	1724	10
994	1726	8
995	1727	6
996	1729	5
997	1730	3
998	1731	1
999	1733	0
